AudioID,AudioFile,WordID,Word,Locale,Transcription
a116,116_audio.wav,id59,Misty morning,en-US,"mIsti mOrnIN"""
a065,065_audio.wav,id33,Bright moon,en-GB,braIt mu:n
a209,209_audio.wav,id105,Burning candles,en-GB,"b3:nIN ""kAnd@lz"""
a047,047_audio.wav,id24,Rippling water,en-GB,"rIplIN wO:t3:r"""
a138,138_audio.wav,id70,Rippling streams,en-US,rIp.lIN stri:mz
a121,121_audio.wav,id61,Deserted beaches,en-GB,"d@""z3:tid bi:tSiz"
a085,085_audio.wav,id43,Whispering pines,en-GB,wIsp3:rIN paInz
a110,110_audio.wav,id56,Golden hues,en-US,goUld@n hjuz
a084,084_audio.wav,id43,Whispering pines,en-US,wIsp@rIN paInz
a115,115_audio.wav,id58,Rolling hills,en-GB,r@UlIN hIlz
a010,010_audio.wav,id06,Soft whispers,en-US,"sAft wIsp@rz"""
a192,192_audio.wav,id97,Golden sunsets,en-US,"goUld@n s^nsEts"""
a198,198_audio.wav,id100,Whistling wind,en-US,wIslIN wInd
a058,058_audio.wav,id30,Chirping birds,en-US,tS3:rpIN b3:rdz
a211,211_audio.wav,id106,Frozen lakes,en-GB,fr@Uz@n leIks
a167,167_audio.wav,id84,Melting snow,en-GB,mEltIN sn@U
a024,024_audio.wav,id13,Deep forest,en-US,dip fOrIst
a217,217_audio.wav,id109,Cloudy skies,en-GB,klaUdi skaIz
a114,114_audio.wav,id58,Rolling hills,en-US,roUlIN hIlz
a099,099_audio.wav,id50,Glistening dew,en-GB,glIs.nIN dju:
a221,221_audio.wav,id111,Starry nights,en-GB,"stAri ""naIts"""
a011,011_audio.wav,id06,Soft whispers,en-GB,"sOft wIsp3:z"""
a020,020_audio.wav,id11,Golden sands,en-US,goUld@n sAndz
a015,015_audio.wav,id08,Waves crash,en-GB,weIvz krAS
a132,132_audio.wav,id67,Gentle raindrops,en-US,"dZEntl ""reIndrAps"""
a100,100_audio.wav,id51,Cascading waterfall,en-US,"k@""sk.eId.IN ""wOt@r.fOl"""
a159,159_audio.wav,id80,Shimmering lakes,en-GB,SIm@rIN leIks
a027,027_audio.wav,id14,Winding roads,en-GB,waIndIN r@Udz
a190,190_audio.wav,id96,Crisp apples,en-US,"krIsp ""Ap@lz"""
a195,195_audio.wav,id98,Twinkling stars,en-GB,twINk.lIN stA:z
a074,074_audio.wav,id38,Dancing shadows,en-US,dAnsIN SEdoUz
a228,228_audio.wav,id115,Dusty roads,en-US,d^sti roUdz
a155,155_audio.wav,id78,Howling winds,en-GB,haUlIN wIndz
a038,038_audio.wav,id20,Starry night,en-US,stAri naIt
a184,184_audio.wav,id93,Chilly nights,en-US,tSIli naIts
a134,134_audio.wav,id68,Smooth sand,en-US,smu:ð sAnd
a093,093_audio.wav,id47,Endless oceans,en-GB,EndlIs oUS@nz
a035,035_audio.wav,id18,Far horizon,en-GB,"fA: h@""raIz@n"
a041,041_audio.wav,id21,Lush meadows,en-GB,"l^S ""mEd@Uz"""
a197,197_audio.wav,id99,Splashing waves,en-GB,splA:SIŋ weIvz
a202,202_audio.wav,id102,Steep mountains,en-US,sti:p maUntInz
a007,007_audio.wav,id04,Shadows grow,en-GB,SEdoUz gr@U
a212,212_audio.wav,id107,Glittering snow,en-US,glIt@rIN snoU
a117,117_audio.wav,id59,Misty morning,en-GB,"mIsti mO:nIN"""
a018,018_audio.wav,id10,Misty mountains,en-US,mIsti maUntInz
a158,158_audio.wav,id80,Shimmering lakes,en-US,SImrIN leIks
a095,095_audio.wav,id48,Sparkling stars,en-GB,spA:k.lIN stA:z
a105,105_audio.wav,id53,Crashing waves,en-GB,krAS.IN weIvz
a054,054_audio.wav,id28,Twinkling lights,en-US,twINklIN laIts
a229,229_audio.wav,id115,Dusty roads,en-GB,d^sti roUdz
a122,122_audio.wav,id62,Flowing rivers,en-US,floUIN rIv@rz
a029,029_audio.wav,id15,Clear sky,en-GB,klI@ skaI
a078,078_audio.wav,id40,Winding river,en-US,waIndIN rIv@r
a112,112_audio.wav,id57,Echoing valleys,en-US,EkoUIN vAliz
a103,103_audio.wav,id52,Blooming flowers,en-GB,blu:m.IN flaU3:z
a111,111_audio.wav,id56,Golden hues,en-GB,g@Uld@n hju:z
a174,174_audio.wav,id88,Bright stars,en-US,braIt stArz
a002,002_audio.wav,id02,Nightfall comes,en-US,naItfAl k^ms
a044,044_audio.wav,id23,Whistling wind,en-US,wIslIN wInd
a160,160_audio.wav,id81,Cozy evenings,en-US,"koUzi ""i:vnINz"""
a223,223_audio.wav,id112,Windy evenings,en-GB,"wIndi i:vNInz"""
a067,067_audio.wav,id34,Dewy grass,en-GB,dju:i grA:s
a140,140_audio.wav,id71,Soaring eagles,en-US,sOrIN i:glz
a194,194_audio.wav,id98,Twinkling stars,en-US,twINk.lIN stArz
a130,130_audio.wav,id66,Starry nights,en-US,stAri naIts
a188,188_audio.wav,id95,Raging fires,en-US,reIdZIN faI3rz
a109,109_audio.wav,id55,Calm serenity,en-GB,"kA:m s@""rEnIti"
a125,125_audio.wav,id63,Shining moon,en-GB,SaInIN mu:n
a163,163_audio.wav,id82,Gusty storms,en-GB,g^sti stO:mz
a057,057_audio.wav,id29,Murky waters,en-GB,m3:ki wO:t3:z
a187,187_audio.wav,id94,Dewy grass,en-GB,dju:i grA:s
a218,218_audio.wav,id110,Lush meadows,en-US,"l^S ""mEdoUz"""
a143,143_audio.wav,id72,Deep oceans,en-GB,"di:p ""oUS@nz"""
a098,098_audio.wav,id50,Glistening dew,en-US,glIs.nIN du:
a019,019_audio.wav,id10,Misty mountains,en-GB,mIsti maUntInz
a017,017_audio.wav,id09,Silent thoughts,en-GB,saIl@nt TOts
a213,213_audio.wav,id107,Glittering snow,en-GB,glIt@rIN sn@U
a136,136_audio.wav,id69,Chirping birds,en-US,tS3:rpIN b3:rdz
a076,076_audio.wav,id39,Glimmering lakes,en-US,glIm@rIN leIks
a053,053_audio.wav,id27,Gleaming stars,en-GB,gli:mIN stA:z
a107,107_audio.wav,id54,Fading light,en-GB,feId.IN laIt
a079,079_audio.wav,id40,Winding river,en-GB,waIndIN rIv3:r
a186,186_audio.wav,id94,Dewy grass,en-US,du:i grAs
a199,199_audio.wav,id100,Whistling wind,en-GB,wIslIN wInd
a012,012_audio.wav,id07,The morning sun,en-US,D@ mOrnIN s^n
a207,207_audio.wav,id104,Misty mornings,en-GB,"mIsti ""mO:nINz"""
a172,172_audio.wav,id87,Soft pillows,en-US,"sAft ""pIloUz"""
a028,028_audio.wav,id15,Clear sky,en-US,klIr skaI
a219,219_audio.wav,id110,Lush meadows,en-GB,"l^S ""mEd@Uz"""
a139,139_audio.wav,id70,Rippling streams,en-GB,rIp.lIN stri:mz
a039,039_audio.wav,id20,Starry night,en-GB,stA:ri naIt
a040,040_audio.wav,id21,Lush meadows,en-US,"l^S ""mEdoUz"""
a082,082_audio.wav,id42,Majestic mountains,en-US,"m@""dZEstIk maUntInz"
a072,072_audio.wav,id37,Crystal clear,en-US,krIst@l klIr
a148,148_audio.wav,id75,Distant mountains,en-US,dIst@nt maUntInz
a210,210_audio.wav,id106,Frozen lakes,en-US,froUz@n leIks
a049,049_audio.wav,id25,Fluttering leaves,en-GB,fl^t@rIN li:vz
a073,073_audio.wav,id37,Crystal clear,en-GB,krIstl klI@
a025,025_audio.wav,id13,Deep forest,en-GB,di:p fO:rIst
a176,176_audio.wav,id89,Harsh sunlight,en-US,"hArS ""s^nlaIt"""
a227,227_audio.wav,id114,Sandy beaches,en-GB,sAndi bi:tS3:z
a033,033_audio.wav,id17,High peak,en-GB,haI pi:k
a113,113_audio.wav,id57,Echoing valleys,en-GB,EkoUIN vAliz
a126,126_audio.wav,id64,Clear skies,en-US,klIr skaIz
a120,120_audio.wav,id61,Deserted beaches,en-US,"d@""z3:rtId bi:tSiz"
a156,156_audio.wav,id79,Frosty mornings,en-US,"frosti ""mOrnINz"""
a008,008_audio.wav,id05,Cold winds,en-US,kold wIndz
a087,087_audio.wav,id44,Golden sunset,en-GB,g@Uld@n s^nset
a214,214_audio.wav,id108,Flowing rivers,en-US,floUIN rIv3rz
a092,092_audio.wav,id47,Endless oceans,en-US,Endl@s oUS@nz
a124,124_audio.wav,id63,Shining moon,en-US,SaInIN mu:n
a133,133_audio.wav,id67,Gentle raindrops,en-GB,"dZEntl ""reIn.drOps"""
a149,149_audio.wav,id75,Distant mountains,en-GB,dIst@nt maUntInz
a165,165_audio.wav,id83,Silent night,en-GB,saIl@nt naIt
a090,090_audio.wav,id46,Tranquil night,en-US,trAnkwIl naIt
a059,059_audio.wav,id30,Chirping birds,en-GB,tS3:rpIN b3:dz
a166,166_audio.wav,id84,Melting snow,en-US,mEltIN snoU
a225,225_audio.wav,id113,Heavy rainfall,en-GB,"hEvi ""reInfa:l"""
a185,185_audio.wav,id93,Chilly nights,en-GB,tSIli naIts
a154,154_audio.wav,id78,Howling winds,en-US,haUlIN wIndz
a003,003_audio.wav,id02,Nightfall comes,en-GB,naItfO:l k^mz
a009,009_audio.wav,id05,Cold winds,en-GB,k@Uld wIndz
a146,146_audio.wav,id74,Glowing horizon,en-US,"glOuIN h@""raIz@n"
a224,224_audio.wav,id113,Heavy rainfall,en-US,"hEvI ""reInfOl"""
a178,178_audio.wav,id90,Cool breezes,en-US,ku:l bri:zIz
a063,063_audio.wav,id32,Rustling trees,en-GB,r^slIN tri:z
a200,200_audio.wav,id101,Dark shadows,en-US,"dArk ""SAdoUz"""
a042,042_audio.wav,id22,Distant thunder,en-US,"dIst@nt T^nd@r"""
a062,062_audio.wav,id32,Rustling trees,en-US,r^slIN tri:z
a031,031_audio.wav,id16,Blue sea,en-GB,blu: si:
a127,127_audio.wav,id64,Clear skies,en-GB,klI@ skaIz
a222,222_audio.wav,id112,Windy evenings,en-US,"wIndi i:vnINz"""
a215,215_audio.wav,id108,Flowing rivers,en-GB,fl@UIN rIv3:z
a145,145_audio.wav,id73,Wide valleys,en-GB,"waId ""vAliz"""
a152,152_audio.wav,id77,Warm sunlight,en-US,"wOrm ""s^nlaIt"""
a108,108_audio.wav,id55,Calm serenity,en-US,"kAm s@""rEnIti"
a169,169_audio.wav,id85,Breezy afternoons,en-GB,"bri:zi aft@""nu:nz"
a081,081_audio.wav,id41,Soothing breeze,en-GB,su:ðIN bri:z
a014,014_audio.wav,id08,Waves crash,en-US,weIvz krAS
a030,030_audio.wav,id16,Blue sea,en-US,blu si
a000,000_audio.wav,id01,City lights,en-US,sIti laIts
a171,171_audio.wav,id86,Crunchy leaves,en-GB,kr^ntSi li:vz
a021,021_audio.wav,id11,Golden sands,en-GB,g@Uld@n sAndz
a069,069_audio.wav,id35,Falling rain,en-GB,fO:lIN reIn
a128,128_audio.wav,id65,Lush meadows,en-US,l^S mEdoUz
a153,153_audio.wav,id77,Warm sunlight,en-GB,"wO:m ""s^nlaIt"""
a180,180_audio.wav,id91,Faint echoes,en-US,"feInt ""EkoUz"""
a147,147_audio.wav,id74,Glowing horizon,en-GB,"gl@UIN h@""raIzn"""
a094,094_audio.wav,id48,Sparkling stars,en-US,spArk.lIN stArz
a086,086_audio.wav,id44,Golden sunset,en-US,goUld@n s^nset
a164,164_audio.wav,id83,Silent night,en-US,saIl@nt naIt
a173,173_audio.wav,id87,Soft pillows,en-GB,"sOft ""pIl@Uz"""
a046,046_audio.wav,id24,Rippling water,en-US,"rIplIN wOt@r"""
a203,203_audio.wav,id102,Steep mountains,en-GB,sti:p maUntInz
a004,004_audio.wav,id03,Reading a book,en-US,ri:dIN @ bUk
a177,177_audio.wav,id89,Harsh sunlight,en-GB,"hA:S ""s^nlaIt"""
a068,068_audio.wav,id35,Falling rain,en-US,fOlIN reIn
a088,088_audio.wav,id45,Bustling city,en-US,b^slIN sIti
